Absorbance:209, 
674.08, -0.01
674.491, -0.01
674.901, -0.01
675.312, -0.01
675.722, -0.01
676.133, -0.01
676.543, -0.01
676.953, -0.01
677.363, -0.01
677.773, -0.01
678.183, -0.01
678.593, -0.01
679.003, -0.01
679.413, -0.01
679.823, -0.01
680.233, -0.01
680.643, -0.01
681.052, -0.01
681.462, -0.01
681.872, -0.01
682.281, -0.01
682.691, -0.01
683.1, -0.02
683.509, -0.01
683.919, -0.01
684.328, -0.01
684.737, -0.01
685.146, -0.01
685.555, -0.01
685.964, -0.01
686.373, -0.01
686.782, -0.01
687.191, -0.01
687.6, -0.02
688.009, -0.02
688.417, -0.02
688.826, -0.02
689.235, -0.02
689.643, -0.02
690.052, -0.02
690.46, -0.02
690.869, -0.02
691.277, -0.02
691.685, -0.02
692.093, -0.02
692.502, -0.02
692.91, -0.02
693.318, -0.02
693.726, -0.02
694.134, -0.02
694.542, -0.02
694.949, -0.02
695.357, -0.02
695.765, -0.02
696.173, -0.02
696.58, -0.02
696.988, -0.02
697.395, -0.02
697.803, -0.02
698.21, -0.02
698.618, -0.02
699.025, -0.02
699.432, -0.02
699.839, -0.03
700.247, -0.02
700.654, -0.02
701.061, -0.03
701.468, -0.03
701.875, -0.02
702.281, -0.03
702.688, -0.03
703.095, -0.03
703.502, -0.03
703.908, -0.03
704.315, -0.02
704.722, -0.03
705.128, -0.03
705.534, -0.03
705.941, -0.02
706.347, -0.03
706.753, -0.02
707.16, -0.02
707.566, -0.02
707.972, -0.02
708.378, -0.02
708.784, -0.02
709.19, -0.03
709.596, -0.02
710.002, -0.02
710.407, -0.03
710.813, -0.02
711.219, -0.03
711.625, -0.02
712.03, -0.02
712.436, -0.02
712.841, -0.03
713.246, -0.02
713.652, -0.02
714.057, -0.03
714.462, -0.02
714.868, -0.03
715.273, -0.02
715.678, -0.03
716.083, -0.02
716.488, -0.02
716.893, -0.03
717.297, -0.03
717.702, -0.03
718.107, -0.02
718.512, -0.02
718.916, -0.02
719.321, -0.02
719.725, -0.02
720.13, -0.02
720.534, -0.03
720.939, -0.02
721.343, -0.02
721.747, -0.02
722.151, -0.03
722.556, -0.02
722.96, -0.03
723.364, -0.02
723.768, -0.03
724.172, -0.03
724.576, -0.03
724.979, -0.03
725.383, -0.03
725.787, -0.02
726.19, -0.03
726.594, -0.02
726.998, -0.02
727.401, -0.03
727.805, -0.02
728.208, -0.02
728.611, -0.02
729.014, -0.02
729.418, -0.02
729.821, -0.02
730.224, -0.02
730.627, -0.02
731.03, -0.02
731.433, -0.02
731.836, -0.02
732.239, -0.02
732.641, -0.02
733.044, -0.02
733.447, -0.02
733.849, -0.02
734.252, -0.02
734.654, -0.02
735.057, -0.02
735.459, -0.02
735.862, -0.02
736.264, -0.02
736.666, -0.02
737.068, -0.02
737.47, -0.03
737.872, -0.03
738.274, -0.02
738.676, -0.03
739.078, -0.03
739.48, -0.03
739.882, -0.03
740.284, -0.03
740.685, -0.03
741.087, -0.03
741.488, -0.03
741.89, -0.04
742.291, -0.03
742.693, -0.03
743.094, -0.04
743.495, -0.04
743.897, -0.04
744.298, -0.04
744.699, -0.04
745.1, -0.04
745.501, -0.04
745.902, -0.04
746.303, -0.05
746.704, -0.04
747.105, -0.04
747.505, -0.04
747.906, -0.04
748.307, -0.04
748.707, -0.04
749.108, -0.04
749.508, -0.04
749.908, -0.04
750.309, -0.04
750.709, -0.03
751.109, -0.03
751.51, -0.03
751.91, -0.03
752.31, -0.03
752.71, -0.03
753.11, -0.03
753.51, -0.03
753.909, -0.03
754.309, -0.03
754.709, -0.03
755.109, -0.03
755.508, -0.03
755.908, -0.03
756.307, -0.03
756.707, -0.03
757.106, -0.03
757.505, -0.03
757.905, -0.03
758.304, -0.04
758.703, -0.04
759.102, -0.04
759.501, -0.05
759.9, -0.05
760.299, -0.05
760.698, -0.05
761.097, -0.05
761.496, -0.05
761.895, -0.05
762.293, -0.05
762.692, -0.05
763.09, -0.05
763.489, -0.06
763.887, -0.05
764.286, -0.05
764.684, -0.05
765.082, -0.06
765.481, -0.05
765.879, -0.06
766.277, -0.06
766.675, -0.06
767.073, -0.06
767.471, -0.06
767.869, -0.06
768.267, -0.06
768.664, -0.06
769.062, -0.07
769.46, -0.06
769.857, -0.07
770.255, -0.06
770.653, -0.06
771.05, -0.06
771.447, -0.07
771.845, -0.07
772.242, -0.07
772.639, -0.07
773.036, -0.07
773.433, -0.07
773.831, -0.07
774.228, -0.07
774.624, -0.07
775.021, -0.07
775.418, -0.07
775.815, -0.08
776.212, -0.08
776.608, -0.08
777.005, -0.08
777.401, -0.07
777.798, -0.08
778.194, -0.08
778.591, -0.08
778.987, -0.08
779.383, -0.08
779.78, -0.08
780.176, -0.08
780.572, -0.08
780.968, -0.08
781.364, -0.08
781.76, -0.09
782.156, -0.08
782.551, -0.08
782.947, -0.08
783.343, -0.08
783.739, -0.09
784.134, -0.08
784.53, -0.08
784.925, -0.08
785.321, -0.09
785.716, -0.08
786.111, -0.09
786.507, -0.09
786.902, -0.09
787.297, -0.09
787.692, -0.09
788.087, -0.09
788.482, -0.09
788.877, -0.09
789.272, -0.09
789.667, -0.09
790.061, -0.09
790.456, -0.09
790.851, -0.09
791.245, -0.09
791.64, -0.09
792.034, -0.09
792.429, -0.09
792.823, -0.09
793.217, -0.1
793.612, -0.09
794.006, -0.09
794.4, -0.09
794.794, -0.09
795.188, -0.09
795.582, -0.1
795.976, -0.1
796.37, -0.1
796.763, -0.09
797.157, -0.1
797.551, -0.1
797.944, -0.1
798.338, -0.1
798.731, -0.1
799.125, -0.1
799.518, -0.1
799.912, -0.1
800.305, -0.1
800.698, -0.1
801.091, -0.1
801.484, -0.11
801.877, -0.11
802.27, -0.11
802.663, -0.1
803.056, -0.11
803.449, -0.11
803.842, -0.11
804.235, -0.11
804.627, -0.11
805.02, -0.11
805.412, -0.1
805.805, -0.11
806.197, -0.1
806.59, -0.1
806.982, -0.11
807.374, -0.11
807.766, -0.11
808.159, -0.1
808.551, -0.11
808.943, -0.1
809.335, -0.1
809.727, -0.11
810.118, -0.11
810.51, -0.11
810.902, -0.11
811.294, -0.11
811.685, -0.11
812.077, -0.11
812.468, -0.11
812.86, -0.11
813.251, -0.11
813.643, -0.1
814.034, -0.11
814.425, -0.11
814.816, -0.11
815.207, -0.11
815.598, -0.12
815.989, -0.1
816.38, -0.11
816.771, -0.11
817.162, -0.11
817.553, -0.11
817.944, -0.11
818.334, -0.11
818.725, -0.1
819.115, -0.11
819.506, -0.11
819.896, -0.1
820.287, -0.11
820.677, -0.11
821.067, -0.11
821.457, -0.11
821.848, -0.11
822.238, -0.11
822.628, -0.11
823.018, -0.11
823.408, -0.11
823.797, -0.1
824.187, -0.1
824.577, -0.1
824.967, -0.11
825.356, -0.11
825.746, -0.11
826.135, -0.1
826.525, -0.11
826.914, -0.1
827.304, -0.1
827.693, -0.1
828.082, -0.1
828.471, -0.11
828.86, -0.11
829.249, -0.11
829.638, -0.1
830.027, -0.1
830.416, -0.11
830.805, -0.1
831.194, -0.1
831.582, -0.1
831.971, -0.1
832.36, -0.1
832.748, -0.11
833.137, -0.1
833.525, -0.1
833.914, -0.1
834.302, -0.11
834.69, -0.1
835.078, -0.1
835.466, -0.1
835.854, -0.1
836.243, -0.09
836.63, -0.1
837.018, -0.09
837.406, -0.1
837.794, -0.1
838.182, -0.1
838.569, -0.1
838.957, -0.1
839.345, -0.1
839.732, -0.1
840.12, -0.09
840.507, -0.1
840.894, -0.09
841.282, -0.09
841.669, -0.09
842.056, -0.09
842.443, -0.1
842.83, -0.09
843.217, -0.08
843.604, -0.07
843.991, -0.08
844.378, -0.08
844.764, -0.1
845.151, -0.08
845.538, -0.08
845.924, -0.09
846.311, -0.09
846.697, -0.08
847.084, -0.08
847.47, -0.08
847.856, -0.08
848.242, -0.08
848.629, -0.07
849.015, -0.08
849.401, -0.07
849.787, -0.08
850.173, -0.08
850.559, -0.09
850.944, -0.09
851.33, -0.07
851.716, -0.09
852.102, -0.08
852.487, -0.09
852.873, -0.06
853.258, -0.07
853.644, -0.08
854.029, -0.09
854.414, -0.07
854.799, -0.08
855.185, -0.07
855.57, -0.08
855.955, -0.07
856.34, -0.07
856.725, -0.07
857.11, -0.06
857.495, -0.07
857.879, -0.07
858.264, -0.06
858.649, -0.06
859.033, -0.08
859.418, -0.07
859.802, -0.06
860.187, -0.06
860.571, -0.07
