Absorbance:209, 
579.942, 0.01
580.364, 0.01
580.787, 0.01
581.209, 0.01
581.631, 0
582.054, 0
582.476, 0
582.898, 0
583.32, 0
583.742, 0
584.164, 0
584.586, 0
585.008, 0.01
585.429, 0.01
585.851, 0.01
586.273, 0.01
586.694, 0
587.116, 0
587.538, 0
587.959, 0
588.38, 0
588.802, 0
589.223, 0
589.644, 0
590.066, 0
590.487, 0
590.908, 0
591.329, 0
591.75, 0.01
592.171, 0
592.592, 0.01
593.013, 0.01
593.434, 0
593.854, 0
594.275, 0
594.696, 0
595.116, 0
595.537, 0
595.957, 0
596.378, 0
596.798, 0
597.218, 0
597.639, 0
598.059, 0
598.479, 0
598.899, 0
599.319, 0
599.739, 0
600.159, 0
600.579, 0
600.999, 0
601.419, 0
601.839, 0
602.259, 0
602.678, 0
603.098, 0
603.517, 0
603.937, 0
604.356, 0
604.776, 0
605.195, 0
605.614, 0
606.034, 0
606.453, 0
606.872, 0
607.291, 0
607.71, 0
608.129, 0
608.548, 0
608.967, 0
609.386, 0
609.805, 0
610.223, 0
610.642, 0
611.061, 0
611.479, 0
611.898, 0
612.316, 0
612.735, 0
613.153, 0
613.571, 0
613.99, 0
614.408, 0
614.826, 0
615.244, 0
615.662, 0
616.08, 0
616.498, 0
616.916, 0
617.334, 0
617.752, 0
618.169, 0
618.587, 0
619.005, 0
619.422, 0
619.84, 0
620.257, 0
620.675, 0
621.092, 0
621.509, 0
621.927, 0
622.344, 0
622.761, 0
623.178, 0
623.595, 0
624.012, 0
624.429, 0
624.846, 0
625.263, 0
625.68, 0
626.097, 0
626.513, 0
626.93, 0
627.346, 0
627.763, 0
628.179, 0
628.596, 0
629.012, 0
629.429, 0
629.845, 0
630.261, 0
630.677, 0
631.093, 0
631.509, 0
631.925, 0
632.341, 0
632.757, 0
633.173, 0
633.589, 0
634.005, 0
634.42, 0
634.836, 0
635.252, 0
635.667, 0.01
636.083, 0
636.498, 0
636.913, 0
637.329, 0
637.744, 0
638.159, 0
638.574, 0
638.99, 0
639.405, 0
639.82, 0
640.235, 0
640.65, 0
641.064, 0
641.479, 0
641.894, 0
642.309, 0
642.723, 0
643.138, 0
643.552, 0
643.967, 0
644.381, 0
644.796, 0
645.21, 0
645.624, 0
646.038, 0
646.453, 0
646.867, 0
647.281, 0
647.695, 0
648.109, 0
648.523, 0
648.936, 0
649.35, 0
649.764, 0
650.178, 0
650.591, 0
651.005, 0
651.418, 0
651.832, 0
652.245, 0
652.659, 0
653.072, 0
653.485, 0
653.898, 0
654.312, 0
654.725, 0
655.138, 0
655.551, 0
655.964, 0
656.377, 0
656.789, 0
657.202, 0
657.615, 0
658.028, 0
658.44, 0
658.853, 0
659.265, 0
659.678, 0
660.09, 0
660.503, 0
660.915, 0
661.327, 0
661.739, 0
662.152, 0
662.564, 0
662.976, 0
663.388, 0
663.8, 0
664.211, 0
664.623, 0
665.035, 0
665.447, 0
665.858, 0
666.27, 0
666.682, 0
667.093, 0
667.505, 0
667.916, 0
668.327, 0
668.739, 0
669.15, 0
669.561, 0
669.972, 0
670.383, 0
670.794, 0
671.205, 0
671.616, 0
672.027, 0
672.438, 0
672.849, 0
673.259, 0
673.67, 0
674.08, 0
674.491, 0
674.901, 0
675.312, 0
675.722, 0
676.133, 0
676.543, 0
676.953, 0
677.363, 0
677.773, 0
678.183, 0
678.593, 0
679.003, 0
679.413, 0
679.823, 0
680.233, 0
680.643, 0
681.052, 0
681.462, 0
681.872, 0
682.281, 0
682.691, 0
683.1, 0
683.509, 0
683.919, 0
684.328, 0
684.737, 0
685.146, 0
685.555, 0
685.964, 0
686.373, 0
686.782, 0
687.191, 0
687.6, 0
688.009, 0
688.417, 0
688.826, 0
689.235, 0
689.643, 0
690.052, 0
690.46, 0
690.869, 0
691.277, 0
691.685, 0
692.093, 0
692.502, 0
692.91, 0
693.318, 0
693.726, 0
694.134, 0
694.542, 0
694.949, 0
695.357, 0
695.765, 0
696.173, 0.01
696.58, 0
696.988, 0
697.395, 0
697.803, 0
698.21, 0
698.618, 0
699.025, 0
699.432, 0
699.839, 0
700.247, 0
700.654, 0
701.061, 0
701.468, 0
701.875, 0
702.281, 0
702.688, 0
703.095, 0
703.502, 0
703.908, 0
704.315, 0
704.722, 0
705.128, 0
705.534, 0.01
705.941, 0.01
706.347, 0
706.753, 0
707.16, 0
707.566, 0
707.972, 0
708.378, 0
708.784, 0
709.19, 0
709.596, 0
710.002, 0
710.407, 0.01
710.813, 0
711.219, 0
711.625, 0.01
712.03, 0
712.436, 0
712.841, 0
713.246, 0
713.652, 0.01
714.057, 0
714.462, 0
714.868, 0
715.273, 0
715.678, 0
716.083, 0
716.488, 0.01
716.893, 0
717.297, 0
717.702, 0
718.107, 0.01
718.512, 0
718.916, 0
719.321, 0
719.725, 0
720.13, 0
720.534, 0
720.939, 0.01
721.343, 0
721.747, 0
722.151, 0
722.556, 0
722.96, 0
723.364, 0
723.768, 0
724.172, 0
724.576, 0
724.979, 0
725.383, 0
725.787, 0
726.19, 0
726.594, 0
726.998, 0.01
727.401, 0
727.805, 0
728.208, 0.01
728.611, 0
