lambda, intensity
613.99, 46363.82
614.408, 46686.81
614.826, 46024.44
615.244, 45521.23
615.662, 45893.37
616.08, 45509.52
616.498, 45404.2
616.916, 45750.6
617.334, 45181.85
617.752, 45352.71
618.169, 45839.54
618.587, 45469.73
619.005, 44982.9
619.422, 45170.15
619.84, 44512.45
620.257, 45008.65
620.675, 44870.56
621.092, 45095.25
621.509, 44641.18
621.927, 44390.75
622.344, 44568.63
622.761, 44308.83
623.178, 44332.23
623.595, 43688.59
624.012, 43580.92
624.429, 43435.81
624.846, 44070.09
625.263, 43697.95
625.68, 43796.25
626.097, 44247.97
626.513, 43726.03
626.93, 43974.13
627.346, 43861.79
627.763, 44070.09
628.179, 44217.55
628.596, 43562.2
629.012, 43906.26
629.429, 43943.7
629.845, 44194.14
630.261, 43896.89
630.677, 43648.8
631.093, 43550.49
631.509, 43700.29
631.925, 43627.73
632.341, 43639.43
632.757, 43389
633.173, 43536.45
633.589, 43489.64
634.005, 43058.98
634.42, 43468.58
634.836, 43749.44
635.252, 42827.27
635.667, 42677.47
636.083, 42686.84
636.498, 42960.68
636.913, 42946.64
637.329, 42649.39
637.744, 42864.72
638.159, 42607.26
638.574, 42487.89
638.99, 42953.66
639.405, 42171.92
639.82, 42635.34
640.235, 43007.49
640.65, 42537.04
641.064, 42080.64
641.479, 42195.32
641.894, 42445.76
642.309, 42464.49
642.723, 41984.68
643.138, 41261.45
643.552, 41247.41
643.967, 41247.41
644.381, 42001.06
644.796, 41259.11
645.21, 42101.7
645.624, 41827.86
646.038, 42394.27
646.453, 42331.08
646.867, 41930.84
647.281, 41640.62
647.695, 41326.99
648.109, 41661.68
648.523, 42120.43
648.936, 41706.15
649.35, 41673.38
649.764, 41179.53
650.178, 41392.52
650.591, 41345.71
651.005, 41715.51
651.418, 41750.62
651.832, 41277.83
652.245, 41146.76
652.659, 41619.55
653.072, 41603.17
653.485, 41385.5
653.898, 40774.62
654.312, 40409.5
654.725, 41212.3
655.138, 41387.84
655.551, 41689.77
655.964, 40758.24
656.377, 40519.5
656.789, 40793.34
657.202, 40521.84
657.615, 41326.99
658.028, 40716.11
658.44, 40189.49
658.853, 40163.74
659.265, 40182.46
659.678, 40224.59
660.09, 40105.23
660.503, 39641.8
660.915, 39599.67
661.327, 39033.26
661.739, 39541.16
662.152, 39360.94
662.564, 40219.91
662.976, 39669.89
663.388, 39704.99
663.8, 39199.44
664.211, 38965.38
664.623, 39047.3
665.035, 39227.52
665.447, 38696.22
665.858, 38560.47
666.27, 38377.91
666.682, 38626.01
667.093, 38841.34
667.505, 38431.74
667.916, 38204.71
668.327, 38090.02
668.739, 37820.86
669.15, 38602.6
669.561, 38429.4
669.972, 38429.4
670.383, 38609.62
670.794, 38406
671.205, 37701.5
671.616, 37277.86
672.027, 37348.07
672.438, 37071.89
672.849, 37312.97
673.259, 37231.05
673.67, 37507.23
674.08, 37275.52
674.491, 36753.58
674.901, 37069.55
675.312, 36285.47
675.722, 36372.07
676.133, 36554.63
676.543, 35864.18
676.953, 36432.93
677.363, 36322.92
677.773, 35728.42
678.183, 36081.84
678.593, 35059.03
679.003, 35674.59
679.413, 35995.25
679.823, 35754.17
680.233, 35213.51
680.643, 35307.13
681.052, 35328.19
681.462, 34867.11
681.872, 35274.36
682.281, 34817.96
682.691, 34714.97
683.1, 34466.88
683.509, 34026.85
683.919, 33827.91
684.328, 33767.06
684.737, 34118.14
685.146, 33764.71
685.555, 33736.63
685.964, 33423
686.373, 33607.9
686.782, 33188.94
687.191, 33132.77
687.6, 32809.78
688.009, 32685.73
688.417, 32489.12
688.826, 32292.52
689.235, 31927.39
689.643, 31990.59
690.052, 31550.57
690.46, 32116.98
690.869, 32056.12
691.277, 32496.14
691.685, 31585.68
692.093, 31267.36
692.502, 31447.58
692.91, 31510.78
693.318, 31454.61
693.726, 31674.62
694.134, 31637.17
694.542, 31360.98
694.949, 31370.35
695.357, 30827.34
695.765, 30876.49
696.173, 30534.78
696.58, 31370.35
696.988, 30911.6
697.395, 30892.88
697.803, 31019.27
698.21, 30956.07
698.618, 30967.77
699.025, 30462.22
699.432, 31318.85
699.839, 30347.53
700.247, 31030.97
700.654, 30218.8
701.061, 30223.48
701.468, 30282
701.875, 30216.46
702.281, 30179.01
702.688, 30331.15
703.095, 30071.35
703.502, 30422.43
703.908, 30183.69
704.315, 30061.99
704.722, 29783.46
705.128, 30256.25
705.534, 29636.01
705.941, 29483.87
706.347, 29544.73
706.753, 29809.21
707.16, 28777.03
707.566, 29355.15
707.972, 29256.84
708.378, 29474.51
708.784, 29469.83
709.19, 28674.05
709.596, 28919.81
710.002, 28781.71
710.407, 28643.62
710.813, 28468.08
711.219, 28940.87
711.625, 28777.03
712.03, 28217.64
712.436, 28484.47
712.841, 28210.62
713.246, 28428.29
713.652, 28248.07
714.057, 28369.78
714.462, 27927.42
714.868, 28109.98
715.273, 27922.74
715.678, 27403.14
716.083, 27936.78
716.488, 27559.95
716.893, 27267.39
717.297, 27337.6
717.702, 27269.73
718.107, 27452.29
718.512, 27119.93
718.916, 27084.83
719.321, 26605.02
719.725, 27152.7
720.13, 26733.75
720.534, 26848.43
720.939, 26796.94
721.343, 26459.9
721.747, 26326.49
722.151, 26579.27
722.556, 26656.51
722.96, 26331.17
723.364, 26963.12
723.768, 26225.85
724.172, 26047.97
724.576, 25778.81
724.979, 25961.37
725.383, 25996.48
725.787, 25961.37
726.19, 26172.02
726.594, 25806.89
726.998, 26300.75
727.401, 25748.38
727.805, 26019.88
728.208, 25643.06
728.611, 25671.14
729.014, 25624.33
729.418, 25722.63
729.821, 25657.1
730.224, 25364.53
730.627, 25411.34
731.03, 25650.08
731.433, 25797.53
731.836, 25380.92
732.239, 25582.2
732.641, 25142.18
733.044, 24952.6
733.447, 25193.67
733.849, 25275.59
734.252, 25090.69
734.654, 25399.64
735.057, 24791.1
735.459, 24535.98
735.862, 24414.27
736.264, 24699.82
736.666, 24231.71
737.068, 24376.83
737.47, 24498.53
737.872, 24751.31
738.274, 24706.84
738.676, 24397.89
739.078, 24404.91
739.48, 23978.93
739.882, 23843.18
740.284, 23632.54
740.685, 23852.55
741.087, 23627.85
741.488, 23522.53
741.89, 23187.83
742.291, 23105.91
742.693, 23581.04
743.094, 23094.21
743.495, 23428.91
743.897, 23314.22
744.298, 23454.65
744.699, 23501.47
745.1, 23393.8
745.501, 23611.47
745.902, 23194.86
746.303, 23199.54
746.704, 23508.49
747.105, 23276.77
747.505, 23220.6
747.906, 23176.13
748.307, 22869.52
748.707, 22799.3
749.108, 23040.38
749.508, 22759.52
749.908, 23129.32
750.309, 22827.39
750.709, 22904.63
751.109, 22649.51
751.51, 22738.45
751.91, 22455.25
752.31, 22637.81
752.71, 22881.22
753.11, 22937.4
753.51, 23332.95
753.909, 22431.84
754.309, 22429.5
754.709, 22331.2
755.109, 22340.56
755.508, 22024.59
755.908, 21806.92
756.307, 22392.05
756.707, 22169.7
757.106, 21411.37
757.505, 21575.2
757.905, 21898.2
758.304, 21713.3
758.703, 21497.97
759.102, 21006.45
759.501, 21055.61
759.9, 21039.22
760.299, 20709.21
760.698, 20966.67
761.097, 21034.54
761.496, 20496.22
