Absorbance:209, 
814.034, -0.15
814.425, -0.15
814.816, -0.16
815.207, -0.15
815.598, -0.16
815.989, -0.15
816.38, -0.16
816.771, -0.16
817.162, -0.16
817.553, -0.16
817.944, -0.15
818.334, -0.15
818.725, -0.16
819.115, -0.16
819.506, -0.16
819.896, -0.15
820.287, -0.16
820.677, -0.16
821.067, -0.16
821.457, -0.16
821.848, -0.16
822.238, -0.16
822.628, -0.16
823.018, -0.16
823.408, -0.16
823.797, -0.15
824.187, -0.15
824.577, -0.16
824.967, -0.15
825.356, -0.16
825.746, -0.16
826.135, -0.15
826.525, -0.16
826.914, -0.15
827.304, -0.15
827.693, -0.16
828.082, -0.15
828.471, -0.15
828.86, -0.15
829.249, -0.16
829.638, -0.15
830.027, -0.15
830.416, -0.16
830.805, -0.14
831.194, -0.15
831.582, -0.15
831.971, -0.15
832.36, -0.15
832.748, -0.15
833.137, -0.14
833.525, -0.15
833.914, -0.14
834.302, -0.14
834.69, -0.15
835.078, -0.14
835.466, -0.14
835.854, -0.14
836.243, -0.14
836.63, -0.14
837.018, -0.14
837.406, -0.14
837.794, -0.14
838.182, -0.14
838.569, -0.13
838.957, -0.14
839.345, -0.13
839.732, -0.14
840.12, -0.14
840.507, -0.14
840.894, -0.13
841.282, -0.13
841.669, -0.13
842.056, -0.13
842.443, -0.13
842.83, -0.13
843.217, -0.12
843.604, -0.12
843.991, -0.12
844.378, -0.11
844.764, -0.13
845.151, -0.12
845.538, -0.11
845.924, -0.12
846.311, -0.12
846.697, -0.12
847.084, -0.11
847.47, -0.11
847.856, -0.12
848.242, -0.1
848.629, -0.11
849.015, -0.11
849.401, -0.11
849.787, -0.11
850.173, -0.11
850.559, -0.11
850.944, -0.11
851.33, -0.1
851.716, -0.11
852.102, -0.11
852.487, -0.11
852.873, -0.09
853.258, -0.1
853.644, -0.11
854.029, -0.11
854.414, -0.11
854.799, -0.1
855.185, -0.09
855.57, -0.1
855.955, -0.1
856.34, -0.09
856.725, -0.1
857.11, -0.09
857.495, -0.09
857.879, -0.08
858.264, -0.08
858.649, -0.09
859.033, -0.1
859.418, -0.09
