lambda, I
648.936, 951.57
649.35, 1227.76
649.764, 1520.32
650.178, 1571.82
650.591, 1733.31
651.005, 1901.83
651.418, 1857.36
651.832, 1840.98
652.245, 1581.18
652.659, 1389.25
653.072, 1333.08
653.485, 1180.95
653.898, 1190.31
654.312, 1202.01
654.725, 1073.28
655.138, 1026.47
655.551, 930.51
655.964, 949.23
656.377, 881.36
656.789, 872
657.202, 862.63
657.615, 942.21
658.028, 956.26
658.44, 883.7
658.853, 902.42
659.265, 822.84
659.678, 839.23
660.09, 822.84
660.503, 750.29
660.915, 909.44
661.327, 930.51
661.739, 942.21
662.152, 1099.03
662.564, 1248.82
662.976, 1206.69
663.388, 1279.25
663.8, 1115.41
664.211, 1152.86
664.623, 904.76
665.035, 818.16
665.447, 806.46
665.858, 710.5
666.27, 766.67
666.682, 740.93
667.093, 651.99
667.505, 710.5
667.916, 724.54
668.327, 752.63
668.739, 705.82
669.15, 684.75
669.561, 752.63
669.972, 666.03
670.383, 647.3
670.794, 703.48
671.205, 682.41
671.616, 736.24
672.027, 673.05
672.438, 677.73
672.849, 616.88
673.259, 659.01
673.67, 680.07
674.08, 560.7
674.491, 680.07
674.901, 644.96
675.312, 666.03
675.722, 614.54
676.133, 607.52
676.543, 633.26
676.953, 588.79
677.363, 574.75
677.773, 609.86
678.183, 654.33
678.593, 614.54
679.003, 588.79
679.413, 605.17
679.823, 663.69
680.233, 584.11
680.643, 591.13
681.052, 630.92
681.462, 609.86
681.872, 616.88
682.281, 628.58
682.691, 574.75
683.1, 661.35
683.509, 630.92
683.919, 579.43
684.328, 602.83
684.737, 614.54
685.146, 605.17
685.555, 591.13
685.964, 719.86
686.373, 778.37
686.782, 815.82
687.191, 970.3
687.6, 902.42
688.009, 1033.49
688.417, 1084.98
688.826, 1047.54
689.235, 965.62
689.643, 815.82
690.052, 694.12
690.46, 588.79
690.869, 715.18
691.277, 551.34
691.685, 495.17
692.093, 616.88
692.502, 644.96
692.91, 591.13
693.318, 705.82
693.726, 752.63
694.134, 766.67
694.542, 766.67
694.949, 766.67
695.357, 759.65
695.765, 539.64
696.173, 579.43
696.58, 513.89
696.988, 532.62
697.395, 476.45
697.803, 488.15
698.21, 467.08
698.618, 527.94
699.025, 396.87
699.432, 396.87
699.839, 504.53
700.247, 424.95
700.654, 492.83
701.061, 478.79
701.468, 520.92
701.875, 499.85
702.281, 497.51
702.688, 488.15
703.095, 556.02
703.502, 619.22
703.908, 656.67
704.315, 602.83
704.722, 757.31
705.128, 867.31
705.534, 911.78
705.941, 1094.35
706.347, 1297.97
706.753, 1379.89
707.16, 1606.92
707.566, 1826.93
707.972, 1871.4
708.378, 1845.66
708.784, 1929.92
709.19, 1812.89
709.596, 1670.12
710.002, 1660.76
710.407, 1632.67
710.813, 1548.41
711.219, 1494.58
711.625, 1386.91
712.03, 1326.06
712.436, 1316.7
712.841, 1391.59
713.246, 1344.78
713.652, 1230.1
714.057, 1274.57
714.462, 1054.56
714.868, 829.87
715.273, 605.17
715.678, 539.64
716.083, 560.7
716.488, 460.06
716.893, 450.7
717.297, 516.23
717.702, 446.02
718.107, 448.36
718.512, 382.82
718.916, 392.19
719.321, 434.32
719.725, 380.48
720.13, 368.78
720.534, 373.46
720.939, 368.78
721.343, 408.57
721.747, 441.34
722.151, 446.02
722.556, 387.5
722.96, 422.61
723.364, 464.74
723.768, 396.87
724.172, 441.34
724.576, 408.57
724.979, 364.1
725.383, 328.99
725.787, 366.44
726.19, 406.23
726.594, 469.42
726.998, 424.95
727.401, 359.42
727.805, 364.1
728.208, 431.98
728.611, 354.74
729.014, 375.8
729.418, 422.61
729.821, 415.59
730.224, 368.78
730.627, 368.78
731.03, 481.13
731.433, 387.5
731.836, 399.21
732.239, 408.57
732.641, 380.48
733.044, 380.48
733.447, 399.21
733.849, 394.53
734.252, 408.57
734.654, 366.44
735.057, 375.8
735.459, 361.76
735.862, 382.82
736.264, 436.66
736.666, 378.14
737.068, 401.55
737.47, 413.25
737.872, 368.78
738.274, 464.74
738.676, 394.53
739.078, 410.91
739.48, 373.46
739.882, 343.03
740.284, 389.85
740.685, 424.95
741.087, 368.78
741.488, 434.32
741.89, 333.67
742.291, 446.02
742.693, 469.42
743.094, 427.29
743.495, 347.72
743.897, 399.21
744.298, 399.21
744.699, 387.5
745.1, 366.44
745.501, 434.32
745.902, 389.85
746.303, 394.53
746.704, 389.85
747.105, 439
747.505, 399.21
747.906, 347.72
748.307, 317.29
748.707, 450.7
749.108, 457.72
749.508, 422.61
749.908, 396.87
750.309, 453.04
750.709, 471.76
751.109, 406.23
751.51, 429.63
751.91, 427.29
752.31, 357.08
752.71, 385.16
753.11, 417.93
753.51, 392.19
753.909, 385.16
754.309, 359.42
754.709, 368.78
755.109, 324.31
755.508, 331.33
755.908, 345.38
756.307, 347.72
756.707, 385.16
757.106, 343.03
757.505, 366.44
757.905, 303.25
758.304, 378.14
758.703, 392.19
759.102, 375.8
759.501, 336.01
759.9, 333.67
760.299, 366.44
760.698, 293.88
761.097, 270.48
761.496, 331.33
761.895, 352.4
762.293, 378.14
762.692, 417.93
763.09, 396.87
763.489, 357.08
763.887, 328.99
764.286, 389.85
764.684, 422.61
765.082, 422.61
765.481, 392.19
765.879, 382.82
766.277, 361.76
766.675, 345.38
767.073, 331.33
767.471, 359.42
767.869, 354.74
768.267, 357.08
768.664, 307.93
769.062, 361.76
769.46, 422.61
769.857, 364.1
770.255, 382.82
770.653, 424.95
771.05, 366.44
771.447, 396.87
771.845, 350.06
772.242, 373.46
772.639, 385.16
773.036, 340.69
773.433, 371.12
773.831, 408.57
774.228, 382.82
774.624, 312.61
775.021, 460.06
775.418, 399.21
775.815, 357.08
776.212, 350.06
776.608, 352.4
777.005, 345.38
777.401, 357.08
777.798, 326.65
778.194, 361.76
778.591, 389.85
778.987, 382.82
779.383, 364.1
779.78, 359.42
780.176, 319.63
780.572, 408.57
780.968, 424.95
781.364, 354.74
781.76, 389.85
782.156, 354.74
782.551, 385.16
782.947, 338.35
783.343, 387.5
783.739, 366.44
784.134, 326.65
784.53, 261.12
784.925, 420.27
785.321, 371.12
785.716, 340.69
786.111, 373.46
786.507, 401.55
786.902, 298.56
787.297, 291.54
787.692, 296.22
788.087, 392.19
788.482, 303.25
788.877, 359.42
789.272, 317.29
789.667, 258.78
790.061, 303.25
790.456, 314.95
790.851, 291.54
791.245, 331.33
791.64, 394.53
792.034, 413.25
792.429, 277.5
792.823, 359.42
793.217, 385.16
793.612, 303.25
794.006, 364.1
794.4, 357.08
794.794, 324.31
795.188, 410.91
795.582, 357.08
795.976, 359.42
796.37, 364.1
796.763, 324.31
797.157, 382.82
797.551, 321.97
797.944, 389.85
798.338, 321.97
798.731, 305.59
799.125, 401.55
799.518, 319.63
799.912, 305.59
800.305, 328.99
800.698, 352.4
801.091, 331.33
801.484, 364.1
801.877, 324.31
802.27, 331.33
802.663, 385.16
803.056, 446.02
803.449, 434.32
803.842, 371.12
804.235, 380.48
804.627, 350.06
805.02, 389.85
805.412, 310.27
805.805, 347.72
806.197, 347.72
806.59, 324.31
806.982, 338.35
807.374, 368.78
807.766, 354.74
808.159, 336.01
808.551, 380.48
808.943, 424.95
809.335, 375.8
809.727, 340.69
810.118, 378.14
810.51, 389.85
810.902, 371.12
811.294, 453.04
811.685, 455.38
812.077, 352.4
812.468, 525.6
812.86, 352.4
813.251, 371.12
813.643, 408.57
814.034, 319.63
814.425, 382.82
814.816, 375.8
815.207, 375.8
815.598, 352.4
