lambda, Intensity
718.916, 2733.45
719.321, 2677.28
719.725, 2586
720.13, 2618.77
720.534, 2539.19
720.939, 2679.62
721.343, 2525.15
721.747, 2410.46
722.151, 2403.44
722.556, 2536.85
722.96, 2307.48
723.364, 2422.16
723.768, 2307.48
724.172, 2295.77
724.576, 2160.02
724.979, 2223.22
725.383, 2211.51
725.787, 2087.47
726.19, 2153
726.594, 2164.7
726.998, 2171.72
727.401, 2096.83
727.805, 2061.72
728.208, 2052.36
728.611, 2012.57
729.014, 1986.82
729.418, 1925.97
729.821, 2110.87
730.224, 1904.9
730.627, 1930.65
731.03, 1872.14
731.433, 1921.29
731.836, 1867.45
732.239, 1783.2
732.641, 1815.96
733.044, 1696.6
733.447, 1698.94
733.849, 1689.57
734.252, 1764.47
734.654, 1668.51
735.057, 1722.34
735.459, 1717.66
735.862, 1642.76
736.264, 1605.31
736.666, 1521.06
737.068, 1588.93
737.47, 1502.33
737.872, 1539.78
738.274, 1535.1
738.676, 1516.37
739.078, 1434.46
739.48, 1441.48
739.882, 1385.3
740.284, 1462.54
740.685, 1443.82
741.087, 1441.48
741.488, 1364.24
741.89, 1406.37
742.291, 1268.28
742.693, 1413.39
743.094, 1275.3
743.495, 1265.94
743.897, 1291.68
744.298, 1221.47
744.699, 1256.58
745.1, 1198.06
745.501, 1184.02
745.902, 1167.63
746.303, 1137.21
746.704, 1174.66
747.105, 1153.59
747.505, 1066.99
747.906, 1116.14
748.307, 1099.76
748.707, 1052.95
749.108, 1137.21
749.508, 1177
749.908, 1137.21
750.309, 1085.72
750.709, 1127.85
751.109, 1076.35
751.51, 1097.42
751.91, 1071.67
752.31, 956.99
752.71, 1090.4
753.11, 1022.52
753.51, 1052.95
753.909, 1052.95
754.309, 968.69
754.709, 973.37
755.109, 992.09
755.508, 968.69
755.908, 982.73
756.307, 898.47
756.707, 854
757.106, 891.45
757.505, 926.56
757.905, 938.26
758.304, 849.32
758.703, 875.07
759.102, 917.2
759.501, 839.96
759.9, 870.39
760.299, 914.86
760.698, 697.19
761.097, 783.79
761.496, 844.64
761.895, 769.74
762.293, 807.19
762.692, 772.08
763.09, 788.47
763.489, 767.4
763.887, 739.32
764.286, 762.72
764.684, 800.17
765.082, 687.82
765.481, 732.3
765.879, 765.06
766.277, 706.55
766.675, 753.36
767.073, 748.68
767.471, 701.87
767.869, 708.89
768.267, 659.74
768.664, 683.14
769.062, 685.48
769.46, 662.08
769.857, 704.21
770.255, 692.51
770.653, 704.21
771.05, 664.42
771.447, 619.95
771.845, 669.1
772.242, 615.27
772.639, 645.7
773.036, 545.05
773.433, 683.14
773.831, 626.97
774.228, 676.12
774.624, 615.27
775.021, 622.29
775.418, 554.41
775.815, 648.04
776.212, 598.88
