FLMS05507_1:101, 
585.008, 52796.78
585.429, 52136.75
585.851, 51633.53
586.273, 51743.54
586.694, 51048.4
587.116, 51415.86
587.538, 51553.96
587.959, 50943.08
588.38, 48885.75
588.802, 47902.72
589.223, 46208.17
589.644, 45290.68
590.066, 45522.4
590.487, 46245.62
590.908, 47570.36
591.329, 48024.43
591.75, 47930.81
592.171, 48082.94
592.592, 48487.85
593.013, 48902.13
593.434, 49452.16
593.854, 49887.49
594.275, 49672.17
594.696, 49122.14
595.116, 49328.11
595.537, 49524.71
595.957, 50285.39
596.378, 50851.8
596.798, 50603.7
597.218, 50720.73
597.639, 50800.3
598.059, 51457.99
598.479, 51160.75
598.899, 50718.38
599.319, 51610.13
599.739, 51055.42
600.159, 51181.81
600.579, 51376.08
600.999, 50203.47
601.419, 50290.07
601.839, 50151.98
602.259, 49662.8
602.678, 50112.19
603.098, 50226.87
603.517, 50224.53
603.937, 50009.2
604.356, 49704.93
604.776, 49498.97
605.195, 49419.39
605.614, 48909.15
606.034, 48689.14
606.453, 48345.08
606.872, 48307.63
607.291, 47476.74
607.71, 47741.22
608.129, 46905.65
608.548, 46030.29
608.967, 46451.59
609.386, 45742.41
609.805, 44595.54
610.223, 44679.8
610.642, 44209.36
611.061, 44490.22
611.479, 44551.07
611.898, 44314.68
612.316, 43378.46
612.735, 42891.63
613.153, 42695.03
613.571, 42313.52
613.99, 41969.46
614.408, 41946.06
614.826, 41300.07
615.244, 41248.58
615.662, 41194.75
616.08, 40141.5
616.498, 39956.6
616.916, 40265.55
617.334, 39570.41
617.752, 39891.07
618.169, 40450.45
618.587, 40225.76
619.005, 39916.81
619.422, 40207.04
619.84, 39420.62
620.257, 39837.23
620.675, 39851.28
621.092, 39434.66
621.509, 38891.66
621.927, 38877.61
622.344, 38519.51
622.761, 38006.94
623.178, 38271.42
623.595, 37545.85
624.012, 37201.79
624.429, 36993.48
624.846, 36682.19
625.263, 35909.82
625.68, 36291.32
626.097, 36359.2
626.513, 36122.8
626.93, 35860.66
627.346, 35699.17
627.763, 35195.95
628.179, 34510.18
628.596, 34437.62
629.012, 34681.03
629.429, 34189.52
629.845, 33932.06
630.261, 33627.79
630.677, 33969.51
631.093, 34035.05
631.509, 33620.77
631.925, 33918.02
632.341, 33611.41
632.757, 33960.15
633.173, 33800.99
633.589, 33637.16
634.005, 33274.37
634.42, 33679.28
634.836, 34119.31
635.252, 33880.57
635.667, 33737.8
636.083, 33529.49
636.498, 33290.76
636.913, 33435.87
637.329, 33339.91
637.744, 33779.93
638.159, 33117.56
638.574, 33419.49
638.99, 33473.32
639.405, 32972.44
639.82, 32906.91
640.235, 32555.83
640.65, 32155.6
641.064, 32289.01
641.479, 31851.33
641.894, 31823.24
642.309, 31942.61
642.723, 31930.9
643.138, 31645.36
643.552, 31666.42
643.967, 31408.97
644.381, 31266.19
644.796, 31032.14
645.21, 31057.88
